observation_name	taxonomic_affiliation
Cluster_240	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidiphilium;unknown species
Cluster_241	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Multi-affiliation
Cluster_242	Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae;Reyranella;Multi-affiliation
Cluster_244	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus;unknown species
Cluster_246	Bacteria;Proteobacteria;Alphaproteobacteria;NRL2;unknown family;unknown genus;Multi-affiliation
Cluster_247	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Multi-affiliation
Cluster_248	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;Multi-affiliation
Cluster_249	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Parviterribacter;unknown species
Cluster_250	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_251	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown species
Cluster_252	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;Multi-affiliation
Cluster_253	Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia;Parachlamydiaceae bacterium HS-T3
Cluster_254	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;Multi-affiliation
Cluster_255	Bacteria;Actinobacteriota;Actinobacteria;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_257	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;unknown species
Cluster_258	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Multi-affiliation
Cluster_259	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloplanus;Multi-affiliation
Cluster_260	Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Halofilum;Halofilum ochraceum
Cluster_261	Archaea;Halobacterota;Halobacteria;Halobacterales;unknown family;unknown genus;unknown species
Cluster_262	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Multi-affiliation
Cluster_265	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;unknown species
Cluster_268	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila;unknown species
Cluster_269	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Multi-affiliation;Multi-affiliation
Cluster_270	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter johnsonii
Cluster_271	Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales;Obscuribacteraceae;unknown genus;unknown species
Cluster_272	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Sporohalobacter;Multi-affiliation
Cluster_277	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Multi-affiliation;Multi-affiliation
Cluster_278	Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Multi-affiliation;Multi-affiliation
Cluster_279	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Methylibium;Multi-affiliation
Cluster_280	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_281	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;unknown species
Cluster_282	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Halanaerobacter;Halanaerobacter lacunarum
Cluster_283	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;Multi-affiliation
Cluster_284	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Multi-affiliation
Cluster_285	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Multi-affiliation;Multi-affiliation
Cluster_288	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;W5053;unknown species
Cluster_289	Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;Multi-affiliation
Cluster_290	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Multi-affiliation
Cluster_292	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;unknown family;unknown genus;unknown species
Cluster_293	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;unknown genus;unknown species
Cluster_294	Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;unknown family;unknown genus;Daucus carota (carrot)
Cluster_295	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidiphilium;metagenome
Cluster_296	Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;unknown species
Cluster_297	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Multi-affiliation
Cluster_298	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Multi-affiliation
Cluster_299	Bacteria;Armatimonadota;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;unknown genus;Multi-affiliation
Cluster_300	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Anaerophaga;unknown species
Cluster_301	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Multi-affiliation
Cluster_302	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Multi-affiliation;Multi-affiliation
Cluster_303	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Multi-affiliation;Multi-affiliation
Cluster_305	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown species
Cluster_307	Bacteria;Actinobacteriota;Actinobacteria;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_308	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Multi-affiliation
Cluster_309	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Multi-affiliation;Multi-affiliation
Cluster_310	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Multi-affiliation
Cluster_311	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter haemolyticus
Cluster_314	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Caulobacter sp.
Cluster_317	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Multi-affiliation;Multi-affiliation
Cluster_319	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Multi-affiliation
Cluster_320	Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;Multi-affiliation;Multi-affiliation
Cluster_322	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;bacterium YC-ZSS-LKJ96
Cluster_323	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Multi-affiliation
Cluster_324	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14;unknown genus;unknown species
Cluster_325	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Altererythrobacter;Multi-affiliation
Cluster_327	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Bosea;Multi-affiliation
Cluster_329	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Tardiphaga;unknown species
Cluster_330	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_331	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown species
Cluster_332	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Multi-affiliation
Cluster_335	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Multi-affiliation
Cluster_336	Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halanaeroarchaeum;Halanaeroarchaeum sulfurireducens
Cluster_338	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Multi-affiliation
Cluster_339	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;Multi-affiliation
Cluster_340	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Nordella;unknown species
Cluster_341	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;unknown genus;unknown species
Cluster_342	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Multi-affiliation
Cluster_343	Bacteria;Firmicutes;Bacilli;Lactobacillales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_345	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanohalophilus;Multi-affiliation
Cluster_346	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amaricoccus;unknown species
Cluster_347	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;unknown species
Cluster_348	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Afipia genosp. 14
Cluster_350	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;Multi-affiliation
Cluster_351	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Multi-affiliation
Cluster_352	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;unknown species
Cluster_354	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;unknown species
Cluster_355	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown species
Cluster_356	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Methyloversatilis;Multi-affiliation
Cluster_358	Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae;Reyranella;Multi-affiliation
Cluster_359	Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Halofilum;Multi-affiliation
Cluster_360	Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;unknown family;unknown genus;unknown species
Cluster_361	Bacteria;Proteobacteria;Gammaproteobacteria;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_362	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Multi-affiliation
Cluster_363	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Multi-affiliation
Cluster_364	Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces sp.
Cluster_365	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;Multi-affiliation
Cluster_368	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Multi-affiliation;Multi-affiliation
Cluster_369	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus;unknown species
Cluster_370	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;unknown species
Cluster_371	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Cnuella;unknown species
Cluster_372	Bacteria;Chloroflexi;KD4-96;unknown order;unknown family;unknown genus;unknown species
Cluster_375	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Acetohalobium;Acetohalobium arabaticum
Cluster_376	Bacteria;Myxococcota;Polyangia;Blfdi19;unknown family;unknown genus;unknown species
Cluster_377	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;unknown genus;unknown species
Cluster_378	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanohalophilus;Multi-affiliation
Cluster_379	Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Multi-affiliation
Cluster_380	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;Multi-affiliation
Cluster_381	Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Chroococcidiopsaceae;Aliterella;unknown species
Cluster_382	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;Multi-affiliation
Cluster_384	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Multi-affiliation
Cluster_385	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Multi-affiliation;Multi-affiliation
Cluster_386	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;Multi-affiliation
Cluster_387	Bacteria;Proteobacteria;Alphaproteobacteria;unknown order;unknown family;unknown genus;unknown species
Cluster_388	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_389	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Multi-affiliation;Multi-affiliation
Cluster_390	Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;unknown species
Cluster_391	Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;Nannocystis;Multi-affiliation
Cluster_392	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;unknown genus;unknown species
Cluster_395	Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;KCM-B-112;unknown species
Cluster_396	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;Multi-affiliation
Cluster_397	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;unknown species
Cluster_398	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Multi-affiliation
Cluster_400	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Multi-affiliation
Cluster_401	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Multi-affiliation
Cluster_402	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;Multi-affiliation
Cluster_404	Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;unknown species
Cluster_405	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas arctica
Cluster_406	Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;unknown species
Cluster_408	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila;unknown species
Cluster_410	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_411	Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Chroococcidiopsaceae;unknown genus;unknown species
Cluster_413	Bacteria;Proteobacteria;Alphaproteobacteria;unknown order;unknown family;unknown genus;unknown species
Cluster_414	Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Pajaroellobacter;unknown species
Cluster_415	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;unknown species
Cluster_416	Bacteria;Myxococcota;Polyangia;Polyangiales;BIrii41;unknown genus;unknown species
Cluster_417	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;unknown species
Cluster_423	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Multi-affiliation;Multi-affiliation
Cluster_424	Bacteria;Firmicutes;Bacilli;Lactobacillales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_426	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Ellin6055;unknown species
Cluster_427	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Multi-affiliation
Cluster_430	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Multi-affiliation;Multi-affiliation
Cluster_431	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Multi-affiliation
Cluster_435	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_436	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Promicromonosporaceae;Isoptericola;unknown species
Cluster_437	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Aquimonas;Multi-affiliation
Cluster_438	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unknown species
Cluster_440	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;unknown genus;Multi-affiliation
Cluster_450	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;Multi-affiliation
Cluster_451	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Multi-affiliation
Cluster_455	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;unknown species
Cluster_457	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Multi-affiliation
Cluster_459	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter;Conexibacter sp.
Cluster_460	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Multi-affiliation;Multi-affiliation
Cluster_467	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;unknown species
Cluster_469	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;unknown species
Cluster_470	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;unknown species
Cluster_471	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Haloarcula;Multi-affiliation
Cluster_475	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12;unknown genus;unknown species
Cluster_478	Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;unknown genus;Multi-affiliation
Cluster_481	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;Multi-affiliation
Cluster_488	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_492	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Multi-affiliation
Cluster_493	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Multi-affiliation
Cluster_494	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Multi-affiliation;Multi-affiliation
Cluster_506	Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halodesulfurarchaeum;Multi-affiliation
Cluster_511	Bacteria;Firmicutes;Limnochordia;MBA03;unknown family;unknown genus;unknown species
Cluster_512	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Pontibacter;Multi-affiliation
Cluster_515	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Multi-affiliation
Cluster_519	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Devosia;Devosia sp.
Cluster_528	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Cavicella;Multi-affiliation
Cluster_529	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Lysinimonas;unknown species
Cluster_536	Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halodesulfurarchaeum;unknown species
Cluster_544	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rubritepida;unknown species
Cluster_568	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium;Multi-affiliation
Cluster_610	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas;Multi-affiliation
Cluster_626	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;unknown family;unknown genus;unknown species
Cluster_628	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Multi-affiliation
Cluster_630	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Multi-affiliation;Multi-affiliation
Cluster_709	Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Multi-affiliation;Multi-affiliation
Cluster_727	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Multi-affiliation
Cluster_732	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Multi-affiliation
Cluster_820	Bacteria;Patescibacteria;Gracilibacteria;unknown order;unknown family;unknown genus;unknown species
