observation_name	taxonomic_affiliation
Cluster_47	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae;Ethanoligenens;unknown species
Cluster_48	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas;Multi-affiliation
Cluster_49	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_50	Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae;Reyranella;unknown species
Cluster_51	Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;unknown species
Cluster_52	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sedimentibacteraceae;Sedimentibacter;unknown species
Cluster_53	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;unknown genus;unknown species
Cluster_54	Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinotignum;unknown species
Cluster_55	Bacteria;Firmicutes;Bacilli;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_56	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Multi-affiliation;Multi-affiliation
Cluster_57	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Asinibacterium;unknown species
Cluster_58	Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;unknown genus;unknown species
Cluster_59	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Multi-affiliation;Multi-affiliation
Cluster_60	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas crusticola
Cluster_61	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Afipia;Multi-affiliation
Cluster_62	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;unknown species
Cluster_63	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Caproiciproducens;unknown species
Cluster_64	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;unknown species
Cluster_65	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Multi-affiliation
Cluster_66	Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halanaeroarchaeum;Multi-affiliation
Cluster_67	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Multi-affiliation
Cluster_68	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Multi-affiliation;Multi-affiliation
Cluster_70	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_71	Bacteria;Proteobacteria;Gammaproteobacteria;JG36-TzT-191;unknown family;unknown genus;unknown species
Cluster_72	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation
