observation_name	ERR7901770 (Cav_A-1)	ERR7901771 (Cav_A-2)	ERR7901772 (Cav_B-1)	ERR7901773 (Cav_B-2)	ERR7901774 (Cav_C-1)	ERR7901775 (Cav_C-2)	ERR7901776 (Cav_D-1)	ERR7901777 (Cav_D-2)	ERR7901778 (Cav_E-1)	ERR7901779 (Cav_E-2)
Cluster_123	250	0	0	0	0	0	0	0	0	0
Cluster_124	0	1	0	0	0	0	0	283	0	0
Cluster_125	0	0	0	193	0	0	0	0	0	0
Cluster_126	0	0	0	1	0	6	0	67	0	148
Cluster_127	45	180	0	0	0	0	0	0	18	6
Cluster_128	0	53	0	0	0	13	0	0	49	115
Cluster_129	0	0	0	0	0	0	0	304	0	0
Cluster_130	139	1	0	0	0	0	0	325	0	0
Cluster_131	0	0	0	206	0	0	0	0	0	0
Cluster_132	0	0	0	0	0	0	0	246	0	0
Cluster_133	0	0	0	1	2	0	0	0	0	207
Cluster_134	0	0	0	0	3	20	75	5	50	50
Cluster_135	238	0	0	0	0	0	0	0	0	0
Cluster_136	0	0	0	0	3	14	184	5	44	107
Cluster_137	0	0	0	47	0	0	0	0	0	158
Cluster_138	11	194	0	1	0	2	0	0	0	0
Cluster_139	0	0	0	1	42	90	178	14	144	208
Cluster_140	0	0	0	0	0	0	251	0	0	0
Cluster_141	0	0	0	0	0	0	0	275	0	1
Cluster_142	0	0	0	0	3	12	162	11	66	130
Cluster_143	17	222	0	0	0	0	0	1	0	0
Cluster_144	1	180	0	0	11	4	0	0	4	1
Cluster_145	0	0	0	0	11	29	80	2	72	93
Cluster_146	161	35	0	1	0	3	0	0	0	0
Cluster_147	0	41	0	2	5	3	0	195	0	0
Cluster_148	0	0	2	0	0	1	2	0	2	154
Cluster_149	184	0	0	0	0	0	0	0	0	0
Cluster_150	33	10	0	0	0	1	41	0	5	98
Cluster_151	0	0	0	169	0	0	0	0	0	0
Cluster_152	0	0	225	0	0	0	0	0	0	0
Cluster_153	0	0	0	23	0	0	0	0	55	79
Cluster_155	0	0	0	0	0	0	182	0	0	0
Cluster_156	2	0	0	0	42	30	51	12	93	25
Cluster_158	0	0	0	0	7	8	76	3	35	48
Cluster_159	0	1	0	2	0	0	0	204	0	27
Cluster_160	0	0	0	147	0	0	0	0	0	0
Cluster_161	0	160	0	0	0	0	0	0	0	0
Cluster_162	0	0	0	0	17	48	51	3	3	5
