observation_name,taxonomic_affiliation,SC01,SC02,SC03,SC04
Methanohalophilus,root;cellular organisms;Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus,61.5,43.3,1.7,42.8
Acetohalobium,root;cellular organisms;Bacteria;Terrabacteria group;Bacillota;Clostridia;Halanaerobiales;Halobacteroidaceae;Acetohalobium,0,0.5,45.4,9.8
Methanolobus,root;cellular organisms;Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus,0.3,18.3,0.4,15.6
Desulfovermiculus,root;cellular organisms;Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus,0,5.3,20.4,6.4
Halanaerobium,root;cellular organisms;Bacteria;Terrabacteria group;Bacillota;Clostridia;Halanaerobiales;Halanaerobiaceae;Halanaerobium,0,13.3,4.3,9.3
Methanohalobium,root;cellular organisms;Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalobium,0,0.1,16.2,3.3
Desulfovibrio,root;cellular organisms;Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,0,3.2,9.1,3.6
Pelobacter,root;cellular organisms;Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Pelobacter,0.2,9.6,0.1,4.8
Marinobacter,root;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter,12.1,0.4,0.1,0.1
Methermicoccus,root;cellular organisms;Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methermicoccaceae;Methermicoccus,5.7,0.1,0.1,0
Marinobacterium,root;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium,5.5,0,0,0
Methanothermococcus,root;cellular organisms;Archaea;Euryarchaeota;Methanomada group;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus,2,0.8,0.1,0.4
Dethiosulfatibacter,root;cellular organisms;Bacteria;Terrabacteria group;Bacillota;Tissierellia;Tissierellia incertae sedis;Dethiosulfatibacter,0,0.7,0,1.3
Caminicella,root;cellular organisms;Bacteria;Terrabacteria group;Bacillota;Clostridia;Peptostreptococcales;Caminicellaceae;Caminicella,1,0.5,0.1,0.3
Thermococcus,root;cellular organisms;Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus,0.6,0.5,0.2,0.3
Kosmotoga,root;cellular organisms;Bacteria;Thermotogota;Thermotogae;Kosmotogales;Kosmotogaceae;Kosmotoga,0.5,0.6,0,0.1
Flavobacterium,root;cellular organisms;Bacteria;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium,0.7,0,0,0.1
Anaerophaga,root;cellular organisms;Bacteria;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Anaerophaga,0,0.7,0,0.1
Halocella,root;cellular organisms;Bacteria;Terrabacteria group;Bacillota;Clostridia;Halanaerobiales;Halanaerobiaceae;Halocella,0.5,0.1,0,0.1
Halomonas,root;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas,0.5,0.1,0,0
Carboxydocella,root;cellular organisms;Bacteria;Terrabacteria group;Bacillota;Clostridia;Eubacteriales;Eubacteriales incertae sedis;Clostridiales Family XVI. Incertae Sedis;Carboxydocella,0.5,0,0,0
Thermosipho,root;cellular organisms;Bacteria;Thermotogota;Thermotogae;Thermotogales;Fervidobacteriaceae;Thermosipho,0.4,0.1,0,0
Limnohabitans,root;cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Limnohabitans,0.5,0,0,0
Thiomicrospira,root;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Thiomicrospira,0.5,0,0,0
Desulfohalobium,root;cellular organisms;Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfohalobium,0,0.3,0.1,0.1
